number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.892641544342041,2026-07-18 13:17:01.747737,2026-07-18 13:17:04.009184,0 days 00:00:02.261447,0.5780093202212182,0.19063571821788408,8,250,0.7993292420985183,COMPLETE
1,0.8784802794456482,2026-07-18 13:17:04.010704,2026-07-18 13:17:05.886468,0 days 00:00:01.875764,0.8540362888980227,0.021035886311957897,9,162,0.8005575058716043,COMPLETE
2,0.8789493560791015,2026-07-18 13:17:05.887709,2026-07-18 13:17:06.988787,0 days 00:00:01.101078,0.5909124836035503,0.19428287191077892,9,108,0.6061695553391381,COMPLETE
3,0.8997560739517212,2026-07-18 13:17:06.990028,2026-07-18 13:17:08.089959,0 days 00:00:01.099931,0.645614570099021,0.06780602616231217,7,173,0.7159725093210578,COMPLETE
4,0.9142366290092468,2026-07-18 13:17:08.091247,2026-07-18 13:17:09.412898,0 days 00:00:01.321651,0.728034992108518,0.036503833523887946,5,345,0.6831809216468459,COMPLETE
5,0.898265254497528,2026-07-18 13:17:09.414202,2026-07-18 13:17:11.638155,0 days 00:00:02.223953,0.5232252063599989,0.047938018610088354,7,414,0.7962072844310213,COMPLETE
6,0.9111342668533325,2026-07-18 13:17:11.639547,2026-07-18 13:17:12.501835,0 days 00:00:00.862288,0.9828160165372797,0.04239958350058539,3,343,0.9744427686266666,COMPLETE
7,0.9166707396507263,2026-07-18 13:17:12.503282,2026-07-18 13:17:13.522209,0 days 00:00:01.018927,0.7200762468698007,0.06787661614294042,3,424,0.8421165132560784,COMPLETE
8,0.9103086709976196,2026-07-18 13:17:13.523453,2026-07-18 13:17:13.989581,0 days 00:00:00.466128,0.6293899908000085,0.10408361292114134,3,148,0.954660201039391,COMPLETE
9,0.8998845815658569,2026-07-18 13:17:13.990847,2026-07-18 13:17:16.262177,0 days 00:00:02.271330,0.5924272277627636,0.06922510445698808,7,365,0.7733551396716398,COMPLETE
10,0.8995119810104371,2026-07-18 13:17:16.263777,2026-07-18 13:17:18.378216,0 days 00:00:02.114439,0.7828065453407016,0.1429762518851035,5,488,0.5089809378074099,COMPLETE
11,0.9037517070770263,2026-07-18 13:17:18.379668,2026-07-18 13:17:19.684302,0 days 00:00:01.304634,0.7311187398797386,0.10221478747059218,5,304,0.6657064137137337,COMPLETE
12,0.9044394016265869,2026-07-18 13:17:19.685840,2026-07-18 13:17:21.520939,0 days 00:00:01.835099,0.7363570033289742,0.011427426284710853,5,444,0.9102839900664857,COMPLETE
13,0.9063321471214294,2026-07-18 13:17:21.522466,2026-07-18 13:17:22.842265,0 days 00:00:01.319799,0.8440221760538485,0.09115133807033306,4,402,0.8686202764096398,COMPLETE
14,0.9074494004249573,2026-07-18 13:17:22.843781,2026-07-18 13:17:23.789857,0 days 00:00:00.946076,0.6842432263357744,0.141011954212922,4,273,0.6053709433747049,COMPLETE
15,0.9107407212257386,2026-07-18 13:17:23.791155,2026-07-18 13:17:26.219436,0 days 00:00:02.428281,0.8304278626461432,0.03896197807106922,6,496,0.7008008395433838,COMPLETE
16,0.9125637531280517,2026-07-18 13:17:26.220881,2026-07-18 13:17:27.393313,0 days 00:00:01.172432,0.930483684284034,0.07287414799465339,4,349,0.8629077960359017,COMPLETE
17,0.9139551639556884,2026-07-18 13:17:27.394889,2026-07-18 13:17:28.118276,0 days 00:00:00.723387,0.7157182087441658,0.12444384578523507,3,227,0.5694064187762938,COMPLETE
18,0.910561740398407,2026-07-18 13:17:28.121833,2026-07-18 13:17:30.170549,0 days 00:00:02.048716,0.7970647259376671,0.033474770997215963,6,424,0.7318263983457369,COMPLETE
19,0.8949486374855041,2026-07-18 13:17:30.171891,2026-07-18 13:17:34.802530,0 days 00:00:04.630639,0.9072950643400715,0.06074876443213476,10,326,0.6563730534075952,COMPLETE
20,0.9071809768676757,2026-07-18 13:17:34.804008,2026-07-18 13:17:36.207157,0 days 00:00:01.403149,0.7714628684804521,0.0864194285242593,4,462,0.8715181956637861,COMPLETE
21,0.907636535167694,2026-07-18 13:17:36.208592,2026-07-18 13:17:36.936113,0 days 00:00:00.727521,0.70152911828753,0.11727792601887455,3,224,0.5157413738318062,COMPLETE
22,0.908456540107727,2026-07-18 13:17:36.937439,2026-07-18 13:17:38.015122,0 days 00:00:01.077683,0.6624788320127042,0.1693587330792659,3,389,0.5638372663706472,COMPLETE
23,0.9076340913772583,2026-07-18 13:17:38.016465,2026-07-18 13:17:39.022734,0 days 00:00:01.006269,0.7191189606970313,0.1276212797012003,4,297,0.5850834568800758,COMPLETE
24,0.9038135528564453,2026-07-18 13:17:39.024038,2026-07-18 13:17:39.883209,0 days 00:00:00.859171,0.7539288123723557,0.16133095089899996,5,202,0.6497087359382301,COMPLETE
25,0.9158530712127686,2026-07-18 13:17:39.884535,2026-07-18 13:17:40.908006,0 days 00:00:01.023471,0.6820916109479389,0.05650260144914813,3,368,0.548595668202572,COMPLETE
26,0.9053334712982177,2026-07-18 13:17:40.909429,2026-07-18 13:17:42.648710,0 days 00:00:01.739281,0.6233517307942157,0.05287495153375509,6,374,0.7536826203488807,COMPLETE
