Age,Gender,Marital Status,Department,Job Role,Job Level,Monthly Income,Hourly Rate,Years At Company,Years In Current Role,Years Since Last Promotion,Work Life Balance,Job Satisfaction,Performance Rating,Training Hours Last Year,Overtime,Project Count,Average Hours Worked Per Week,Absenteeism,Work Environment Satisfaction,Relationship With Manager,Job Involvement,Distance From Home,Number Of Companies Worked,Attrition
58,Female,Married,IT,Manager,1,15488,28,15,4,2,1,3,4,14,No,6,54,17,4,4,4,20,3,No
48,Female,Married,Sales,Assistant,5,13079,28,6,9,1,2,1,1,6,Yes,2,45,1,4,1,2,25,2,No
34,Male,Married,Marketing,Assistant,1,13744,24,24,14,8,3,2,1,77,Yes,6,34,2,3,4,4,45,3,No
27,Female,Divorced,Marketing,Manager,1,6809,26,10,8,2,3,5,4,49,No,9,48,18,2,3,1,35,3,No
40,Male,Divorced,Marketing,Executive,1,10206,52,29,10,1,2,5,1,64,No,3,33,0,4,1,3,44,3,No
58,Male,Divorced,Finance,Assistant,3,16746,48,15,9,3,4,2,3,66,No,9,35,9,2,2,3,24,1,No
38,Male,Divorced,HR,Analyst,1,18995,55,29,1,1,4,5,1,43,No,2,55,13,1,1,3,40,2,No
42,Female,Divorced,Marketing,Manager,3,19035,24,4,9,0,3,2,3,30,No,5,46,12,4,2,4,13,1,No
30,Male,Married,IT,Analyst,5,14671,31,18,3,5,4,1,1,42,Yes,2,36,8,3,4,2,48,3,No
30,Male,Married,Marketing,Analyst,3,16210,31,18,11,9,3,1,2,76,No,7,53,5,3,3,4,39,2,No
43,Female,Married,Finance,Executive,5,8197,81,25,12,7,3,1,4,47,Yes,9,52,5,4,1,2,4,3,Yes
55,Female,Married,IT,Analyst,5,18553,76,17,10,9,2,2,2,81,No,7,36,18,2,2,3,12,1,No
59,Female,Divorced,Finance,Executive,3,10452,15,12,9,9,4,2,1,80,No,5,38,9,1,4,1,17,1,No
43,Female,Divorced,IT,Assistant,2,11718,26,7,1,1,2,4,1,80,Yes,4,42,2,1,3,4,1,3,No
22,Male,Divorced,Sales,Manager,4,17859,18,16,1,8,3,5,3,60,No,4,49,17,3,3,1,17,2,No
41,Male,Single,HR,Analyst,1,5172,56,11,9,2,3,5,1,74,Yes,8,43,18,3,3,3,2,1,No
21,Male,Married,HR,Manager,4,16158,27,14,11,7,3,4,1,83,Yes,1,45,4,2,4,2,6,3,No
43,Male,Married,Finance,Analyst,1,19663,99,3,14,7,1,4,1,9,Yes,5,52,10,3,4,1,44,4,No
49,Female,Divorced,HR,Manager,1,14085,18,19,6,2,1,1,2,28,No,2,38,9,2,4,4,11,3,No
57,Male,Married,Finance,Analyst,5,6981,96,18,4,2,1,4,3,47,No,9,44,16,4,3,1,43,3,No
21,Male,Married,Finance,Analyst,1,8247,83,10,7,5,2,2,2,97,No,7,34,3,1,1,1,18,2,No
40,Female,Divorced,Finance,Analyst,1,13553,33,6,5,0,3,3,3,80,No,8,47,17,4,2,4,40,3,No
52,Male,Single,HR,Analyst,3,9135,16,13,10,3,4,2,2,61,No,6,50,17,3,4,2,25,4,No
31,Male,Single,Finance,Analyst,4,8573,26,10,14,0,2,4,1,12,No,9,49,0,1,1,4,39,3,Yes
41,Male,Single,HR,Analyst,3,16731,95,18,7,2,2,5,2,43,Yes,6,37,13,1,2,3,28,4,No
44,Male,Divorced,Finance,Analyst,1,10189,88,26,8,8,2,2,2,46,No,7,44,7,4,3,2,46,1,No
46,Male,Married,Marketing,Analyst,5,17541,20,20,8,4,4,5,3,63,No,7,50,1,2,1,1,16,3,Yes
47,Male,Divorced,Finance,Analyst,3,13878,22,26,1,4,3,2,3,90,No,9,54,18,1,3,4,12,2,Yes
35,Female,Divorced,IT,Manager,3,14087,65,16,8,3,1,5,2,52,No,8,38,14,2,2,3,41,3,No
34,Female,Married,Finance,Executive,2,16667,25,25,6,2,3,2,3,89,Yes,1,48,1,4,4,4,29,4,No
22,Male,Single,Sales,Analyst,1,5776,77,25,4,4,3,5,3,91,Yes,4,58,3,4,3,2,23,4,No
56,Male,Single,Finance,Executive,5,12311,71,6,13,3,2,3,3,76,Yes,7,55,0,2,1,3,21,2,Yes
26,Female,Divorced,IT,Analyst,3,10697,26,13,14,7,2,1,4,75,Yes,8,51,18,4,4,1,16,4,No
40,Male,Single,IT,Analyst,3,17629,87,4,12,3,2,2,3,43,Yes,7,35,9,1,1,2,48,3,No
28,Male,Divorced,HR,Manager,5,11386,16,23,8,7,1,3,4,27,No,3,33,0,4,2,3,41,4,No
58,Male,Divorced,Marketing,Assistant,1,11044,22,14,3,5,1,1,4,1,Yes,4,40,19,4,2,2,45,3,No
37,Female,Married,Finance,Assistant,2,12615,25,1,13,4,1,2,3,56,Yes,7,58,14,1,4,1,26,3,Yes
23,Male,Married,HR,Manager,3,18034,67,28,4,3,3,3,2,56,No,8,39,3,2,1,3,37,4,No
44,Female,Married,Marketing,Executive,2,8060,24,20,6,3,2,3,3,33,No,7,32,6,4,1,4,22,2,Yes
